IDN,AGE,COUNTRY,GENDER,IMMIGRANT,HAPPINESS
88364,29,Kyrgyzstan,Male,0,4.92
37692,41,Afghanistan,Male,0,3.96
56204,97,Italy,Female,0,5.99
57856,20,Azerbaijan,Female,0,4.51
93485,63,Jordan,Female,1,6.05
14696,90,Rwanda,Female,0,3.64
32338,97,Pakistan,Female,0,5.05
16622,79,Croatia,Female,0,5.55
49453,62,South Korea,Female,0,6.16
92540,86,Uruguay,Male,0,6.07
97976,36,Congo-Kinshasa,Female,0,4.43
86318,92,Burkina Faso,Male,0,4.15
33391,78,Egypt,Male,0,4.05
15890,74,Slovenia,Male,1,6.55
64590,93,Bosnia and Herzegovina,Male,0,4.72
92908,63,Jamaica,Male,0,5.13
77875,47,Cambodia,Female,0,3.8
74666,77,Cambodia,Female,0,3.77
35024,85,Sierra Leone,Male,0,4.12
62801,31,Moldova,Male,0,5.66
99230,52,Kenya,Female,0,4.21
90449,90,Belgium,Female,0,6.92
31105,99,Denmark,Male,0,7.54
23164,99,Central African Republic,Male,0,3.44
80115,59,United Arab Emirates,Male,0,6.87
30222,96,Iran,Female,1,5.17
94288,62,Ecuador,Male,0,5.79
86809,49,Malaysia,Female,0,5.57
20510,36,New Zealand,Female,0,7.15
50000,51,Armenia,Male,0,4.13
26406,21,Gabon,Female,0,4.08
47948,27,Lebanon,Female,0,4.84
50723,74,Ireland,Male,0,6.81
65024,84,Ireland,Male,0,6.95
87845,33,Netherlands,Female,0,7.5
38470,33,Thailand,Male,0,6.17
28146,54,Denmark,Female,1,8.29
54533,38,South Africa,Male,0,4.82
45770,51,Qatar,Female,0,6.6
18207,60,Norway,Female,0,7.42
30437,71,Armenia,Male,0,4.1
29834,21,Somaliland region,Male,0,4.65
83915,90,Cambodia,Female,0,3.8
17882,27,India,Male,0,4.52
30976,75,Indonesia,Male,0,5.3
25209,77,Nepal,Male,0,4.03
20522,43,France,Male,0,6.49
46677,75,Singapore,Male,1,7.08
46272,57,Spain,Female,0,6.07
76244,92,Congo-Brazzaville,Female,0,4.02
17360,66,Libya,Male,0,5.13
30805,96,Georgia,Male,0,4.11
92620,28,Slovenia,Male,1,6.57
29478,35,Tunisia,Female,0,4.57
95570,47,Malta,Male,1,6.17
29789,60,Belgium,Female,0,6.72
88855,40,Ukraine,Female,0,4.87
82597,94,Croatia,Male,0,5.47
58399,84,Cyprus,Female,0,6.34
54183,81,Libya,Female,0,5.26
58331,62,Kosovo,Female,0,4.94
64530,99,Chile,Male,0,6.35
15759,22,Russia,Female,0,5.28
70265,29,Qatar,Female,0,6.58
74079,96,Colombia,Male,0,6.14
27703,49,Cambodia,Male,0,4.01
96676,98,Lithuania,Male,0,5.34
24369,83,Canada,Male,0,7.38
99921,90,Botswana,Male,0,3.83
63064,67,Mexico,Female,0,6.95
37581,82,Congo-Brazzaville,Female,0,4.06
75705,80,Paraguay,Male,0,5.75
25932,46,Portugal,Female,0,4.95
87363,39,Nicaragua,Male,0,5.35
78398,62,Singapore,Male,1,7.1
74164,86,Costa Rica,Female,0,7.01
70226,48,Bahrain,Female,0,5.04
53519,79,Turkey,Male,0,5.14
11945,39,Portugal,Female,0,4.94
63054,73,Angola,Female,0,5.35
39507,40,France,Female,0,6.55
52224,50,Poland,Female,0,5.78
59255,57,Netherlands,Female,0,7.5
89855,92,Israel,Male,1,7.91
66772,49,Comoros,Male,0,3.57
95440,97,Suriname,Male,0,6.1
40831,61,Greece,Male,0,5.15
15511,96,Palestinian Territories,Male,0,4.49
72072,90,Germany,Female,1,6.97
52871,19,Zambia,Female,0,4.82
55405,92,Myanmar,Male,0,4.3
93363,40,Bosnia and Herzegovina,Female,0,4.75
43706,33,Greece,Female,0,5.31
59236,99,Sudan,Female,0,4.26
70891,91,Tunisia,Male,0,4.82
33463,60,Armenia,Male,0,4.22
79936,30,Japan,Female,0,5.97
79905,89,Qatar,Female,0,6.55
68796,88,Turkmenistan,Male,0,5.51
66961,39,United Kingdom,Male,0,6.78
77017,67,Sweden,Male,0,7.22
18210,28,Austria,Female,1,7.9
75003,66,Central African Republic,Male,0,3.47
84988,63,United States,Female,1,7.23
79440,27,Kosovo,Male,0,5.11
30262,79,China,Male,0,4.97
82688,54,China,Female,0,4.93
16810,24,Guinea,Male,0,3.61
17318,63,Guatemala,Female,0,5.69
21396,93,Sudan,Female,0,4.27
83819,19,Bahrain,Male,0,5.14
88535,52,Somaliland region,Female,0,4.77
15019,86,Turkmenistan,Male,0,5.37
40302,86,Iceland,Female,0,7.34
67510,40,Dominican Republic,Female,0,4.68
51645,96,Uzbekistan,Female,0,5.43
95525,29,Venezuela,Male,0,6.98
68514,57,Denmark,Female,0,7.67
18391,67,Denmark,Male,0,7.48
54202,40,Russia,Male,1,5.97
24375,44,Hong Kong,Male,0,5.45
30499,79,Sierra Leone,Female,0,4.05
70811,25,Ghana,Female,0,4.81
74811,36,Uzbekistan,Male,0,5.5
67419,49,Libya,Male,0,5.23
36596,97,Malaysia,Female,0,5.63
87868,93,Iceland,Female,1,7.78
94501,88,Mauritania,Male,0,4.71
37655,85,Lithuania,Male,0,5.32
38669,43,Yemen,Female,0,3.91
76235,96,Tanzania,Male,0,3.52
13205,97,Iceland,Male,1,7.82
53291,82,Spain,Female,0,6.12
23315,59,Croatia,Male,0,5.56
84902,53,Somaliland region,Male,0,4.62
45335,31,New Zealand,Female,0,7.17
60369,59,Mexico,Male,0,7.07
32052,41,Venezuela,Male,0,6.81
41442,81,Turkey,Male,0,5.15
43148,69,Bosnia and Herzegovina,Male,0,4.56
70492,93,Trinidad and Tobago,Female,1,6.99
87303,97,Kazakhstan,Female,0,5.63
43777,27,Luxembourg,Female,0,6.86
49202,56,Kyrgyzstan,Male,0,4.99
88073,76,Trinidad and Tobago,Male,0,6.44
45120,58,United States,Female,0,7
22797,23,Benin,Male,0,3.36
87631,53,Uganda,Female,1,4.91
10544,18,Central African Republic,Female,0,3.47
85034,22,Cameroon,Female,0,4.33
38555,92,Swaziland,Male,0,4.59
83158,29,Libya,Male,0,5.09
27891,65,Uruguay,Male,0,6.09
69834,28,Lebanon,Male,1,5.28
79385,70,Liberia,Male,1,4.39
41376,73,Kyrgyzstan,Male,0,4.96
32365,47,Nigeria,Male,0,5.02
